timestamp,Servo1Angle,Diff1,Dir1,Servo2Angle,Diff2,Dir2,Servo3Angle,Diff3,Dir3,Servo4Angle,Diff4,Dir4,Servo5Angle,Diff5,Dir5
4/23/2025 17:26,90,0,center,90,0,center,90,0,center,90,0,center,90,0,center
4/23/2025 17:26,90,0,center,150,60,up,36,-54,down,167,77,up,90,0,center
4/23/2025 17:26,81,-9,left,167,77,up,95,5,up,15,-75,down,90,0,center
4/23/2025 17:26,1,-89,left,133,43,up,169,79,up,135,45,up,90,0,center
4/23/2025 17:26,7,-83,left,13,-77,down,113,23,up,68,-22,down,90,0,center
4/23/2025 17:26,22,-68,left,135,45,up,4,-86,down,40,-50,down,90,0,center
4/23/2025 17:26,127,37,right,112,22,up,117,27,up,26,-64,down,90,0,center
4/23/2025 17:26,11,-79,left,141,51,up,17,-73,down,174,84,up,90,0,center
4/23/2025 17:26,133,43,right,142,52,up,38,-52,down,115,25,up,90,0,center
4/23/2025 17:26,40,-50,left,163,73,up,97,7,up,105,15,up,90,0,center
4/23/2025 17:26,7,-83,left,62,-28,down,69,-21,down,72,-18,down,90,0,center
4/23/2025 17:26,56,-34,left,13,-77,down,133,43,up,136,46,up,90,0,center
4/23/2025 17:26,149,59,right,174,84,up,140,50,up,60,-30,down,90,0,center
4/23/2025 17:26,21,-69,left,27,-63,down,6,-84,down,137,47,up,90,0,center
4/23/2025 17:26,44,-46,left,176,86,up,126,36,up,97,7,up,90,0,center
4/23/2025 17:26,21,-69,left,177,87,up,121,31,up,85,-5,down,90,0,center
4/23/2025 17:26,109,19,right,167,77,up,55,-35,down,72,-18,down,90,0,center
4/23/2025 17:26,112,22,right,96,6,up,117,27,up,60,-30,down,90,0,center
4/23/2025 17:26,75,-15,left,26,-64,down,89,-1,down,163,73,up,90,0,center
4/23/2025 17:26,110,20,right,142,52,up,70,-20,down,146,56,up,90,0,center
4/23/2025 17:26,177,87,right,93,3,up,149,59,up,17,-73,down,90,0,center
4/23/2025 17:26,178,88,right,113,23,up,17,-73,down,122,32,up,90,0,center
4/23/2025 17:26,60,-30,left,101,11,up,79,-11,down,140,50,up,90,0,center
4/23/2025 17:26,108,18,right,40,-50,down,93,3,up,150,60,up,90,0,center
4/23/2025 17:26,63,-27,left,68,-22,down,140,50,up,179,89,up,90,0,center
4/23/2025 17:26,49,-41,left,23,-67,down,175,85,up,104,14,up,90,0,center
4/23/2025 17:26,33,-57,left,133,43,up,42,-48,down,126,36,up,90,0,center
4/23/2025 17:26,8,-82,left,52,-38,down,53,-37,down,20,-70,down,90,0,center
4/23/2025 17:26,178,88,right,99,9,up,122,32,up,10,-80,down,90,0,center
4/23/2025 17:26,108,18,right,19,-71,down,112,22,up,112,22,up,90,0,center
4/23/2025 17:26,41,-49,left,37,-53,down,162,72,up,115,25,up,90,0,center
4/23/2025 17:26,99,9,right,121,31,up,155,65,up,79,-11,down,90,0,center
4/23/2025 17:26,60,-30,left,62,-28,down,14,-76,down,48,-42,down,90,0,center
4/23/2025 17:26,100,10,right,22,-68,down,112,22,up,132,42,up,90,0,center
4/23/2025 17:26,96,6,right,56,-34,down,123,33,up,72,-18,down,90,0,center
4/23/2025 17:26,13,-77,left,134,44,up,50,-40,down,72,-18,down,90,0,center
4/23/2025 17:26,176,86,right,91,1,up,123,33,up,40,-50,down,90,0,center
4/23/2025 17:26,119,29,right,36,-54,down,169,79,up,17,-73,down,90,0,center
4/23/2025 17:26,79,-11,left,111,21,up,112,22,up,9,-81,down,90,0,center
4/23/2025 17:26,29,-61,left,148,58,up,137,47,up,136,46,up,90,0,center
4/23/2025 17:26,12,-78,left,94,4,up,126,36,up,37,-53,down,90,0,center
4/23/2025 17:26,48,-42,left,98,8,up,67,-23,down,111,21,up,90,0,center
4/23/2025 17:26,116,26,right,112,22,up,174,84,up,69,-21,down,90,0,center
4/23/2025 17:26,102,12,right,179,89,up,55,-35,down,60,-30,down,90,0,center
4/23/2025 17:26,106,16,right,5,-85,down,96,6,up,68,-22,down,90,0,center
4/23/2025 17:26,69,-21,left,94,4,up,129,39,up,33,-57,down,90,0,center
4/23/2025 17:26,146,56,right,121,31,up,33,-57,down,177,87,up,90,0,center
4/23/2025 17:26,106,16,right,138,48,up,167,77,up,17,-73,down,90,0,center
4/23/2025 17:26,6,-84,left,18,-72,down,110,20,up,178,88,up,90,0,center
4/23/2025 17:26,19,-71,left,25,-65,down,58,-32,down,35,-55,down,90,0,center
4/23/2025 17:26,56,-34,left,117,27,up,35,-55,down,142,52,up,90,0,center
4/23/2025 17:26,143,53,right,162,72,up,149,59,up,96,6,up,90,0,center
4/23/2025 17:26,111,21,right,152,62,up,6,-84,down,55,-35,down,90,0,center
4/23/2025 17:26,61,-29,left,62,-28,down,162,72,up,121,31,up,90,0,center
4/23/2025 17:26,34,-56,left,8,-82,down,42,-48,down,140,50,up,90,0,center
4/23/2025 17:26,119,29,right,102,12,up,108,18,up,134,44,up,90,0,center
4/23/2025 17:26,102,12,right,176,86,up,76,-14,down,6,-84,down,90,0,center
4/23/2025 17:26,31,-59,left,153,63,up,179,89,up,144,54,up,90,0,center
4/23/2025 17:26,103,13,right,120,30,up,16,-74,down,132,42,up,90,0,center
4/23/2025 17:26,99,9,right,76,-14,down,17,-73,down,44,-46,down,90,0,center
4/23/2025 17:26,105,15,right,104,14,up,65,-25,down,168,78,up,90,0,center
4/23/2025 17:26,35,-55,left,149,59,up,178,88,up,28,-62,down,90,0,center
4/23/2025 17:26,60,-30,left,171,81,up,93,3,up,40,-50,down,90,0,center
4/23/2025 17:26,129,39,right,95,5,up,97,7,up,119,29,up,90,0,center
4/23/2025 17:26,106,16,right,148,58,up,129,39,up,126,36,up,90,0,center
4/23/2025 17:26,145,55,right,139,49,up,44,-46,down,165,75,up,90,0,center
4/23/2025 17:26,37,-53,left,151,61,up,47,-43,down,72,-18,down,90,0,center
4/23/2025 17:26,33,-57,left,59,-31,down,17,-73,down,28,-62,down,90,0,center
4/23/2025 17:26,59,-31,left,40,-50,down,15,-75,down,154,64,up,90,0,center
4/23/2025 17:26,78,-12,left,40,-50,down,28,-62,down,125,35,up,90,0,center
4/23/2025 17:26,135,45,right,104,14,up,8,-82,down,75,-15,down,90,0,center
4/23/2025 17:26,88,-2,left,78,-12,down,122,32,up,88,-2,down,90,0,center
4/23/2025 17:26,15,-75,left,56,-34,down,52,-38,down,21,-69,down,90,0,center
4/23/2025 17:26,104,14,right,179,89,up,122,32,up,128,38,up,90,0,center
4/23/2025 17:26,161,71,right,169,79,up,96,6,up,177,87,up,90,0,center
4/23/2025 17:26,106,16,right,137,47,up,140,50,up,26,-64,down,90,0,center
4/23/2025 17:26,29,-61,left,157,67,up,6,-84,down,144,54,up,90,0,center
4/23/2025 17:26,155,65,right,139,49,up,21,-69,down,59,-31,down,90,0,center
4/23/2025 17:26,21,-69,left,131,41,up,55,-35,down,68,-22,down,90,0,center
4/23/2025 17:26,50,-40,left,22,-68,down,160,70,up,33,-57,down,90,0,center
4/23/2025 17:26,11,-79,left,121,31,up,42,-48,down,100,10,up,90,0,center
4/23/2025 17:26,159,69,right,163,73,up,126,36,up,54,-36,down,90,0,center
4/23/2025 17:26,76,-14,left,178,88,up,97,7,up,172,82,up,90,0,center
4/23/2025 17:26,147,57,right,34,-56,down,148,58,up,127,37,up,90,0,center
4/23/2025 17:26,146,56,right,78,-12,down,16,-74,down,124,34,up,90,0,center
4/23/2025 17:26,151,61,right,45,-45,down,44,-46,down,12,-78,down,90,0,center
4/23/2025 17:26,140,50,right,48,-42,down,95,5,up,110,20,up,90,0,center
4/23/2025 17:26,155,65,right,120,30,up,68,-22,down,173,83,up,90,0,center
